Date,Tweet,Username,Url
2022-11-29 13:41:21+00:00,@JohnSimpsonNews @SamsungMobile @Conservatives @UN_HRC @ECHR_CEDH @BBCBreaking @thetimes @guardian @ThreeUK,RORYMELDRUM,https://twitter.com/RORYMELDRUM/status/1597586513021538304
2022-11-29 13:20:00+00:00,"@ThreeUK Don’t use the online chat to order your phone!!! 
Terrible customer service then when you raise a complaint it doesn’t get sorted!!!
Shocking",lyndsaysbeauty2,https://twitter.com/lyndsaysbeauty2/status/1597581143842656257
2022-11-29 13:16:37+00:00,@ThreeUK pity your stores close when they should be open.... https://t.co/iar4Odi80v,Paul_of_London,https://twitter.com/Paul_of_London/status/1597580290758963200
2022-11-29 12:38:46+00:00,"You told me the email you have is not same as my acc. Wrong.
You told me you would pay the https://t.co/L7Mpz3EWVq haven’t.
You tried to pay me off with £10. You owe me £35!
Disgraceful.
@ThreeUK",SzlesingerB,https://twitter.com/SzlesingerB/status/1597570766102757376
2022-11-29 11:36:46+00:00,@ThreeUK you really are the worst customer service company I have to deal with in a while,_EfficiencyFit_,https://twitter.com/_EfficiencyFit_/status/1597555163002466306
2022-11-29 10:59:59+00:00,Including @ACHintegrates @Babbasahub @DigiCatapult @lv @ThalesUK @tmforumorg @ThreeUK @WestofEnglandCA @AirbusintheUK @ultraleap @BlackSWNet @wshed,DigiFutures,https://twitter.com/DigiFutures/status/1597545904331841536
2022-11-29 10:38:37+00:00,@ThreeUK Utterly disgusting customer service you have! I’m unable to help my elderly father with his upgrade because I’m on a conference call with him? I have to be there in person? What difference does this make? The policy isn’t even on your website.,Ramain3,https://twitter.com/Ramain3/status/1597540529818185728
2022-11-29 10:23:43+00:00,"@ThreeUK I recently sent a text to multiple mobile numbers.. it was just a text, no links or photos, but you've somehow treated it as a MMS and billed me. I'm not really happy about this..",frostyinfinity,https://twitter.com/frostyinfinity/status/1597536780525658112
2022-11-29 10:19:41+00:00,@DPDgroup_news @ThreeUK @ThreeUKSupport  2 weeks on and you’re charging for an undelivered phone #dishonest #incompetent https://t.co/lPbw6zEEt0,bigpacer98,https://twitter.com/bigpacer98/status/1597535765436993539
2022-11-29 09:23:59+00:00,@ThreeUK @ThreeUKSupport What is the latest excuse sorry I mean update on you not having rolled out your eSIM support as promised.,WARPIGY,https://twitter.com/WARPIGY/status/1597521745250242560
2022-11-29 09:21:02+00:00,@threeuksupport @threeuk @tfl When will wifi be turned on for Three customers in the Elizabeth Line stations? Only Virgin works and when you select Three it goes to this page: https://t.co/YKqV8m0mxQ,NationalWC,https://twitter.com/NationalWC/status/1597521002745171973
2022-11-29 08:44:27+00:00,"So @ThreeUK I've had no phone signal at home since Saturday evening, and as you supply my broadband hub that means no internet access either. Any idea when I can expect my service to resume?",DARRENJ0NES,https://twitter.com/DARRENJ0NES/status/1597511797342629889
2022-11-29 00:52:09+00:00,"@marykdlex Uras na para umibig 

KDLEX Sweethearts #RAWRAWARDS2022
Threeuk",34SPARROW34,https://twitter.com/34SPARROW34/status/1597392938971336705
2022-11-29 00:16:59+00:00,@ThreeUK @ThreeUKSupport why does your site not understand a correct and valid IMEi number ? Yet Samsung and independent site work fine? https://t.co/33A0lelhXN,wired2thebrink,https://twitter.com/wired2thebrink/status/1597384088297811968
2022-11-28 22:12:24+00:00,"@ThreeUK @ThreeUKSupport Absolutely disgusting and unexpectedly shocking internet connectivity at HA3 9RJ area. Almost nothing!! Please check &amp; help if possible, else definitely changing 🙏",SiddharthKShah,https://twitter.com/SiddharthKShah/status/1597352737364381698
2022-11-28 22:06:57+00:00,I saved the best till last @ThreeUK   Still the best network as far as I’m concerned all things considered. Handled my upgrade &amp; the necessary exchange due to a glitchy device &amp; my subsequent desire to take advantage of a brilliant Black Friday deal quickly &amp; efficiently. Thanks!,Masai_Williams,https://twitter.com/Masai_Williams/status/1597351364124114944
2022-11-28 21:29:30+00:00,@ThreeUK Fingers crossed,Dsb66David,https://twitter.com/Dsb66David/status/1597341940634165248
2022-11-28 21:28:23+00:00,@ThreeUK Fingers crossed 😃,Dsb66David,https://twitter.com/Dsb66David/status/1597341658362019840
